ID,Hide,Timestamp,Mod,Target,Reason
140,FALSE,02/11/2025 20:50:10,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: Souldbound until designed!"
141,FALSE,02/11/2025 20:50:24,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: Souldbound until designed!"
142,FALSE,02/11/2025 20:50:33,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: Souldbound until designed!"
143,FALSE,02/11/2025 20:50:53,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: Souldbound until designed!"
144,FALSE,02/11/2025 20:51:11,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: Souldbound until designed!"
145,FALSE,02/11/2025 20:51:24,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: Souldbound until designed!"
146,FALSE,02/11/2025 20:51:37,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: Souldbound until designed!"
148,FALSE,03/11/2025 8:34:32,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: Souldbound until designed!"
149,FALSE,03/11/2025 8:35:29,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: Souldbound until designed!"
150,FALSE,03/11/2025 8:36:04,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Notes: Souldbound until designed!"
151,FALSE,03/11/2025 8:36:36,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: Souldbound until designed!"
152,FALSE,03/11/2025 8:37:02,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Notes: Souldbound until designed!"
153,FALSE,03/11/2025 8:37:34,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: Souldbound until designed!"
154,FALSE,03/11/2025 16:25:14,kkurozu,,"[Bot] Granted MYO slot: Status: Soulbound, Notes: Souldbound until designed!"
155,FALSE,03/11/2025 16:46:20,kkurozu,,"[Bot] Granted MYO slot: Status: Soulbound, Notes: Souldbound until designed!"
156,FALSE,03/11/2025 16:49:20,kkurozu,,"[Bot] Granted MYO slot: Status: Soulbound, Notes: Souldbound until designed!"
157,FALSE,03/11/2025 18:54:44,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: soulbound until designed"
158,FALSE,04/11/2025 2:30:12,kkurozu,,"[Bot] Granted MYO slot: Value: 50, Rarity: Super Rare, Species: Wyvern"
159,FALSE,04/11/2025 7:22:49,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: soulbound ubtil designed"
160,FALSE,04/11/2025 7:23:27,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: soulbound until designed"
161,FALSE,04/11/2025 7:24:47,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: soulbound until designed"
162,FALSE,04/11/2025 7:25:43,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: soulbound until designed"
163,FALSE,04/11/2025 7:26:33,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: soulbound until designed"
164,FALSE,04/11/2025 14:45:31,kkurozu,,"[Bot] Granted MYO slot: Value: 0, Status: Soulbound, Notes: Souldbound until designed!"
165,FALSE,04/11/2025 14:50:55,ninovel,,"[Bot] Granted MYO slot: Value: 40, Rarity: Rare, Notes: Premuim Rare Slot before we changed the system!"
166,FALSE,04/11/2025 17:10:53,ninovel,,"[Bot] Granted MYO slot: Value: 500, Rarity: Ultra Rare, Species: Leviathan"
167,FALSE,05/11/2025 9:43:23,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: soulbound until designed"
168,FALSE,05/11/2025 9:43:29,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: soulbound until designed"
169,FALSE,05/11/2025 9:43:50,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: soulbound until designed"
170,FALSE,05/11/2025 9:44:05,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: soulbound until designed"
171,FALSE,05/11/2025 20:01:00,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: Bound until designed"
172,FALSE,05/11/2025 20:01:16,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: Bound until designed"
173,FALSE,05/11/2025 20:01:26,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: Bound until designed"
174,FALSE,05/11/2025 22:32:59,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: soulbound until used"
175,FALSE,06/11/2025 2:07:57,ninovel,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: Souldbound until designed!"
176,FALSE,06/11/2025 10:49:00,limatrix,,"[Bot] Granted 1 MYO slot: Status: Soulbound, Rarity: Common, Notes: soulbound until designed"
177,FALSE,06/11/2025 10:49:10,limatrix,,"[Bot] Granted 1 MYO slot: Status: Soulbound, Rarity: Common, Notes: soulbound until designed"
178,FALSE,06/11/2025 18:01:33,ninovel,,"[Bot] Granted 1 MYO slot: Status: Soulbound, Notes: Souldbound until designed!"
179,FALSE,06/11/2025 18:02:28,limatrix,,"[Bot] Granted 1 MYO slot: Status: Soulbound, Rarity: Common, Notes: soulbound until desgined"
180,FALSE,06/11/2025 18:02:37,limatrix,,"[Bot] Granted 1 MYO slot: Status: Soulbound, Rarity: Common, Notes: soulbound until desgined"
181,FALSE,06/11/2025 18:02:48,kkurozu,,"[Bot] Granted 1 MYO slot: Status: Soulbound, Notes: Souldbound until designed!"
182,FALSE,06/11/2025 21:20:20,ninovel,,"[Bot] Granted 1 MYO slot: Status: Soulbound, Rarity: Common, Notes: Soulbound until designed!"
183,FALSE,06/11/2025 21:21:15,ninovel,,"[Bot] Granted 1 MYO slot: Status: Soulbound, Rarity: Common, Notes: Soulbound until designed!"
184,FALSE,7/11/2025 1:51:32,ninovel,,"Status: Soulbound, Rarity: Common, Notes: soulbound until desgined"
185,FALSE,7/11/2025 21:37:20,Limatrix,,"Status: Soulbound, Rarity: Common, Notes: Soulbound until designed"
186,FALSE,7/11/2025 21:37:37,Limatrix,,"Rarity: Common, Notes: Soulbound until designed"
187,FALSE,08/11/2025 1:46:55,ninovel,luceil.,"[Bot] Granted 1 MYO slot: Value: 20, Rarity: Common, Notes: Premium 'Common' Slot!"
