ID,Trait,AUX,Hide,Image URL,Image,Preview,Type,Rarity,Price,Description,Item
18,Darkness,18 Darkness,FALSE,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85233569_kae.png,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85233569_kae.png,,Elemental,Uncommon,,"Elemental traits locked the colour, can grediant a bit but shouldn't effect the overall colour or change it's element.",Dark Jewel-bite
19,Light,19 Light,FALSE,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85233596_Mqz.png,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85233596_Mqz.png,,Elemental,Uncommon,,"Elemental traits locked the colour, can grediant a bit but shouldn't effect the overall colour or change it's element.",Light Jewel bite
20,Wind,20 Wind,FALSE,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85233602_jXJ.png,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85233602_jXJ.png,,Elemental,Uncommon,,"Elemental traits locked the colour, can grediant a bit but shouldn't effect the overall colour or change it's element.",Wind Jewel bite
21,Fire,21 Fire,FALSE,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85233605_sHq.png,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85233605_sHq.png,,Elemental,Uncommon,,"Elemental traits locked the colour, can grediant a bit but shouldn't effect the overall colour or change it's element.",Fire Jewel-bite
22,Water,22 Water,FALSE,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85233613_GOc.png,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85233613_GOc.png,,Elemental,Uncommon,,"Elemental traits locked the colour, can grediant a bit but shouldn't effect the overall colour or change it's element.",Water Jewel-bite
23,Earth,23 Earth,FALSE,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85233618_3Pe.png,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85233618_3Pe.png,,Elemental,Uncommon,,"Elemental traits locked the colour, can grediant a bit but shouldn't effect the overall colour or change it's element.",Earth Jewel-bite
24,Pastry,24 Pastry,FALSE,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85233485_38n.png,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85233485_38n.png,,Theme,Rare,,Change into a candy (Literrally Edible). Advance Elemental can change colour within the same concept,Pastry jewel-bite
25,Radiant Crack,25 Radiant Crack,FALSE,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85233486_mJF.png,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85233486_mJF.png,,Theme,Rare,,Advance Elemental can change colour within the same concept,Radiant Crack Jewel-bite
26,Snow,26 Snow,FALSE,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85233578_wQu.png,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85233578_wQu.png,,Theme,Rare,,Advance Elemental can change colour within the same concept,Snow Jewel-bite
27,Flora,27 Flora,FALSE,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85233588_nVY.png,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85233588_nVY.png,,Theme,Rare,,Advance Elemental can change colour within the same concept,Flora Jewel-bite
28,Pearl,28 Pearl,FALSE,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85233686_F9X.png,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85233686_F9X.png,,Material,Common,,Skin has a pearl-like reflective sheen.,Pearl Jewel-bite
29,Gold,29 Gold,FALSE,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85233683_c9k.png,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85233683_c9k.png,,Material,Common,,Change part material to Gold.,Gold Jewel-bite
30,Crystal,30 Crystal,FALSE,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85233679_ArM.png,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85233679_ArM.png,,Material,Common,,Change part material to Crystal.,Crystal Jewel-bite
31,Glass,31 Glass,FALSE,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85233675_m36.png,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85233675_m36.png,,Material,Common,,Change part material to Glass.,Glass Jewel-bite
32,Metal,32 Metal,FALSE,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85235251_weT.png,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85235251_weT.png,,Material,Common,,Change part material to Metal (any color other than gold).,Metal Jewel-bite
33,Bone,33 Bone,FALSE,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85233435_Wbu.png,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85233435_Wbu.png,,Material,Common,,Change part material to Bone.,Bone Jewel-bite
34,Spike,34 Spike,FALSE,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85233433_6sJ.png,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85233433_6sJ.png,,Material,Common,,Can grow spikes on the body.,Spike Jewel-bite
35,Armor Scale,35 Armor Scale,FALSE,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85233440_2so.png,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85233440_2so.png,,Material,Common,,Change skin texture to armor-like scales.,Armor Scale Jewel-bite
36,Glow,36 Glow,FALSE,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85233759_l3F.png,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85233759_l3F.png,,Mystic,Uncommon,,Parts of the body can glow.,Glow Jewel-bite
37,Shimmer,37 Shimmer,FALSE,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85233764_I30.png,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85233764_I30.png,,Mystic,Rare,,"Any small, shimmery pattern is allowed, must not look like a symbols.",Shimmer Jewel-bite
38,Magic Marking,38 Magic Marking,FALSE,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85233767_ARx.png,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85233767_ARx.png,,Mystic,Rare,,Can have glowing magical markings on the body or parts; the marking is changeable.,Magic Marking Jewel-bite
39,Curl Wing,39 Curl Wing,FALSE,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85233770_LYf.png,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85233770_LYf.png,,Special limbs,Uncommon,,"Fixed Structure
but frills is changable to some extend

*Same rules as the normal wings",Curl Wings Jewel-bite
40,Insect Wing,40 Insect Wing,FALSE,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85233772_IVS.png,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85233772_IVS.png,,Special limbs,Rare,,"Fixed Shape, wing pattern is changable",Insect Wings Jewel-bite
41,Blade Wing,41 Blade Wing,FALSE,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85233774_OSO.png,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85233774_OSO.png,,Special limbs,Uncommon,,"Fixed structure and has Sharp
but frills is changable to some extend

*Same rules as the normal wings",Blade Wings Jewel-bite
42,Double Limb,42 Double Limb,FALSE,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85234085_NSN.png,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85234085_NSN.png,,Special limbs,Rare,,"Allow to grow a double of tail, horns, and wings.
Use the same traits as the base limbs, but they should be smaller.
Some details can be adjusted to achieve a smaller size.",Double Limbs Jewel-bite
43,Adaptable Horn,43 Adaptable Horn,FALSE,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85234092_kN9.png?1720968611,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85234092_kN9.png?1720968611,,Special limbs,Rare,,"This trait allows for customization of any horn type. While the horn must retain its basic concept and recognizable characteristics, variations in its design are permitted, enabling unique and personalized interpretations of the original horn shape.",Adaptable Horn Jewel-bite
44,Pompom tip,44 Pompom tip,FALSE,https://f2.toyhou.se/file/f2-toyhou-se/images/85233918_0abdkOvOBJbZMIS.png,https://f2.toyhou.se/file/f2-toyhou-se/images/85233918_0abdkOvOBJbZMIS.png,,Special limbs,Common,,Allows just the tail tip to be covered with fluffy fur.,PomPom Jewel-bit
45,Fluffy tail,45 Fluffy tail,FALSE,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85233916_1kg.png,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85233916_1kg.png,,Special limbs,Common,,Allows the entire tail to be covered with fur.,Fur tail Jewel-bite
46,Levitate,46 Levitate,FALSE,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85233769_abc.png,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85233769_abc.png,,Special limbs,Rare,,Allow wings to hover beside puff.,Levitate Jewel-bite
47,Shark,47 Shark,FALSE,,,,Exclusive,Super Rare,,"Lost Species for Leviathan only.

You may change the ears, horns, and tail into shark-like forms,
and they can still be used together with standard Leviathan parts.",Shark Jewel-bite
48,Astral Ring,48 Astral Ring,FALSE,,,,Mystic,Rare,,"Rings can be placed around various parts of the Puff’s body
and can be combined with other Traits.",Astral Ring Jewel-bite
49,Puff Colony,49 Puff Colony,FALSE,,,,,,,"A special phenomenon where young Puffs gather together and disguise themselves as an object.
They cannot be separated or reverted into normal Puffs.",Puff Colony MYO Slot
50,Living Doll,50 Living Doll,FALSE,,,,Theme,Rare,,"Allows the Puff to have seam lines and doll-like element

In the humanoid form, this trait can also appear as ball joints.",Living Doll Jewel-bite
51,Rotten,51 Rotten,FALSE,,,,Theme,Rare,,"Allows parts of the Puff’s body to appear decayed, revealing the inside beneath.",Rotten Jewel-bite
52,Spirit,52 Spirit,FALSE,,,,Theme,Super Rare,,Transforms the Puff’s body into a spiritual or ghostly form.,Spirit Jewel-bite
53,Necromancer,53 Necromancer,FALSE,,,,Theme,Super Rare,,"Purple Oozing Aura + being able to summon 1 bone creature

(when drawing prompt / writing prompt in the future you can create as many minions as you want but in official art you can have only 1 summon drawn)",Necromancer Jewel-bite
54,Transparent,54 Transparent,FALSE,,,,Mystic,Rare,,Make body part transparent or translucent.,Transparent Jewel-bite
55,Corrupted,55 Corrupted,FALSE,,,,Theme,Super Rare,,"black miasma shape on body part, multiple eyes on the corrupted part",Corrupted jewel-bite
56,Hand-wings,56 Hand-wings,FALSE,,,,Wing type,Super Rare,,A wings that shaped like a large hand.,Hand-wings Jewel-bite
57,Cross Tail-tip,57 Cross Tail-tip,FALSE,,,,Tail related Trait,Rare,,Cross shaped Tail-tip,Cross Tail-tip Jewel-bite
58,Puff in a box,58 Puff in a box,FALSE,,,,Theme,Super Rare,,Allow puff to be inside any object (like a cat stuck in a box),Puff in a Box Jewel-bite
59,No Webbing,59 No Webbing,FALSE,,,,Wing type,Super Rare,,No wings membrane,No Webbing Jewel-bite
60,Sprout Shape Tail-tip,60 Sprout Shape Tail-tip,FALSE,,,,Tail related Trait,Common,,,Sprout Tail-tip Jewel-bite
61,Astral,61 Astral,FALSE,,,,Mystic,Super Rare,,,Astral Jewel-bite
62,One-Horn,62 One-Horn,FALSE,,,,Special limbs,Common,,,One-horn Jewel-bite
63,Twins,63 Twins,FALSE,,,,Mystic,Rare,,,Twins Jewel-bite
64,Stone,64 Stone,FALSE,,,,Material,Common,,,Stone Jewel-bite
65,Coral,65 Coral,FALSE,,,,Theme,Rare,,,Coral Jewel-bite
66,Master Elemental,66 Master Elemental,FALSE,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/04b3c4c6-546a-4158-85ea-944a25ffbbcd/dktpcz0-45e0652e-b2f1-4460-9c0f-b396696b6e0e.png?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7InBhdGgiOiIvZi8wNGIzYzRjNi01NDZhLTQxNTgtODVlYS05NDRhMjVmZmJiY2QvZGt0cGN6MC00NWUwNjUyZS1iMmYxLTQ0NjAtOWMwZi1iMzk2Njk2YjZlMGUucG5nIn1dXSwiYXVkIjpbInVybjpzZXJ2aWNlOmZpbGUuZG93bmxvYWQiXX0.hhi01UJ5lcHo1sf2wWTRIFm4x_gZOMnLEDJpIaXzEtA,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/04b3c4c6-546a-4158-85ea-944a25ffbbcd/dktpcz0-45e0652e-b2f1-4460-9c0f-b396696b6e0e.png?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7InBhdGgiOiIvZi8wNGIzYzRjNi01NDZhLTQxNTgtODVlYS05NDRhMjVmZmJiY2QvZGt0cGN6MC00NWUwNjUyZS1iMmYxLTQ0NjAtOWMwZi1iMzk2Njk2YjZlMGUucG5nIn1dXSwiYXVkIjpbInVybjpzZXJ2aWNlOmZpbGUuZG93bmxvYWQiXX0.hhi01UJ5lcHo1sf2wWTRIFm4x_gZOMnLEDJpIaXzEtA,,Elemental,Ultra Rare,,Allows Elemental Traits to be combined with one another.,Master Elemental Jewel-bite
67,Will-o'-Wisp,67 Will-o'-Wisp,FALSE,,,,Mystic,Rare,,,Will-o'-Wisp Jewel-bite
68,Sea Bunny,68 Sea Bunny,FALSE,,,,Lost Species,Super Rare,,,Sea Bunny Jewel-bite
69,Phoenix,69 Phoenix,FALSE,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/04b3c4c6-546a-4158-85ea-944a25ffbbcd/dktpcyp-15c0e082-46d7-473c-bac6-077b6d211d9d.png?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7InBhdGgiOiIvZi8wNGIzYzRjNi01NDZhLTQxNTgtODVlYS05NDRhMjVmZmJiY2QvZGt0cGN5cC0xNWMwZTA4Mi00NmQ3LTQ3M2MtYmFjNi0wNzdiNmQyMTFkOWQucG5nIn1dXSwiYXVkIjpbInVybjpzZXJ2aWNlOmZpbGUuZG93bmxvYWQiXX0.HaEyHW6bihG-j9L3VrmHzaGh8DxWZ3lp8GHjboTuqpM,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/04b3c4c6-546a-4158-85ea-944a25ffbbcd/dktpcyp-15c0e082-46d7-473c-bac6-077b6d211d9d.png?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7InBhdGgiOiIvZi8wNGIzYzRjNi01NDZhLTQxNTgtODVlYS05NDRhMjVmZmJiY2QvZGt0cGN5cC0xNWMwZTA4Mi00NmQ3LTQ3M2MtYmFjNi0wNzdiNmQyMTFkOWQucG5nIn1dXSwiYXVkIjpbInVybjpzZXJ2aWNlOmZpbGUuZG93bmxvYWQiXX0.HaEyHW6bihG-j9L3VrmHzaGh8DxWZ3lp8GHjboTuqpM,,Lost Species,Ultra Rare,,,Phoenix Jewel-bite
70,Scorpion,70 Scorpion,FALSE,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/04b3c4c6-546a-4158-85ea-944a25ffbbcd/dktpcy1-5a1b7778-b97a-4d4f-a0d3-99d0f93c3761.png?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7InBhdGgiOiIvZi8wNGIzYzRjNi01NDZhLTQxNTgtODVlYS05NDRhMjVmZmJiY2QvZGt0cGN5MS01YTFiNzc3OC1iOTdhLTRkNGYtYTBkMy05OWQwZjkzYzM3NjEucG5nIn1dXSwiYXVkIjpbInVybjpzZXJ2aWNlOmZpbGUuZG93bmxvYWQiXX0.WQfAnGsPyyTEw5jhYpCd961uGLT_48TYTQCYztL5MGA,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/04b3c4c6-546a-4158-85ea-944a25ffbbcd/dktpcy1-5a1b7778-b97a-4d4f-a0d3-99d0f93c3761.png?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7InBhdGgiOiIvZi8wNGIzYzRjNi01NDZhLTQxNTgtODVlYS05NDRhMjVmZmJiY2QvZGt0cGN5MS01YTFiNzc3OC1iOTdhLTRkNGYtYTBkMy05OWQwZjkzYzM3NjEucG5nIn1dXSwiYXVkIjpbInVybjpzZXJ2aWNlOmZpbGUuZG93bmxvYWQiXX0.WQfAnGsPyyTEw5jhYpCd961uGLT_48TYTQCYztL5MGA,,Lost Species,Ultra Rare,,,Scorpion Jewel-bite
71,Octo,71 Octo,FALSE,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/04b3c4c6-546a-4158-85ea-944a25ffbbcd/dktpcyb-a831da25-a990-4b1f-a843-e18dbc8d7508.png?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7InBhdGgiOiIvZi8wNGIzYzRjNi01NDZhLTQxNTgtODVlYS05NDRhMjVmZmJiY2QvZGt0cGN5Yi1hODMxZGEyNS1hOTkwLTRiMWYtYTg0My1lMThkYmM4ZDc1MDgucG5nIn1dXSwiYXVkIjpbInVybjpzZXJ2aWNlOmZpbGUuZG93bmxvYWQiXX0.bOFJmd1UPvtzLlLfX2zxruzEJ6BEBGLWCxR3EP-TVCk,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/04b3c4c6-546a-4158-85ea-944a25ffbbcd/dktpcyb-a831da25-a990-4b1f-a843-e18dbc8d7508.png?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7InBhdGgiOiIvZi8wNGIzYzRjNi01NDZhLTQxNTgtODVlYS05NDRhMjVmZmJiY2QvZGt0cGN5Yi1hODMxZGEyNS1hOTkwLTRiMWYtYTg0My1lMThkYmM4ZDc1MDgucG5nIn1dXSwiYXVkIjpbInVybjpzZXJ2aWNlOmZpbGUuZG93bmxvYWQiXX0.bOFJmd1UPvtzLlLfX2zxruzEJ6BEBGLWCxR3EP-TVCk,,Lost Species,Ultra Rare,,,Octo Jewel-bite
72,Peacock,72 Peacock,FALSE,,,,Lost Species,Super Rare,,,Peacock Jewel-bite
73,Brush Tail tip,73 Brush Tail tip,FALSE,,,,Tail related Trait,Uncommon,,,Brush Tail Tip Jewel-bite
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
,, ,FALSE,,,,,,,,
