ID,Item,AUX,Hide,Stocked in shop,Tradeable,Limited,Image URL,Image,Preview,Trait,Type,Rarity,Price,Description,Stock quantity
13,SR Trait Jewel-Bite,13 SR Trait Jewel-Bite,FALSE,TRUE,TRUE,FALSE,https://drive.google.com/file/d/1TdqM8QsFLh3eZ9WVMwmyoS2JnWUW_k6Z/view?usp=drive_link,https://img-l.ink/img/1TdqM8QsFLh3eZ9WVMwmyoS2JnWUW_k6Z.png,,,Trait,Super Rare,80,This item can be used in place of any one Common Trait.,-1
14,Shark Jewel-bite,14 Shark Jewel-bite,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/file/d/14ONgHaHtoNNd7Lw0FZlP0LL6zz716mw-/view?usp=drive_link,https://img-l.ink/img/14ONgHaHtoNNd7Lw0FZlP0LL6zz716mw-.png,,Shark,Trait,Super Rare,-,Grant 'Shark' feature to your 'Leviathan' Puffling,
15,Gold Jewel-bite,15 Gold Jewel-bite,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/file/d/1ECyUsUv25k7ogsyJWG_ga_O3WGS_oY7J/view?usp=drive_link,https://img-l.ink/img/1ECyUsUv25k7ogsyJWG_ga_O3WGS_oY7J.png,,Gold,Trait,Common,-,Allow Puffling to change parts into 'Gold',
16,Crystal Jewel-bite,16 Crystal Jewel-bite,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/file/d/1_8IRjK-vCTzjuIdbudbQVT4yg8CqSwnD/view?usp=drive_link,https://img-l.ink/img/1_8IRjK-vCTzjuIdbudbQVT4yg8CqSwnD.png,,Crystal,Trait,Common,-,Allow Puffling to change parts into 'Crystal',
17,Pearl Jewel-bite,17 Pearl Jewel-bite,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/file/d/1YgxrDuPNeAXF0-L6iJZli1I_z0Zxc48e/view?usp=drive_link,https://img-l.ink/img/1YgxrDuPNeAXF0-L6iJZli1I_z0Zxc48e.png,,Pearl,Trait,Common,-,Allow Puffling to change parts into 'Pearl',
18,Glass Jewel-bite,18 Glass Jewel-bite,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/file/d/1sALvK0TU_Q0JQSaOMSl19Df_BHytwZkQ/view?usp=sharing,https://img-l.ink/img/1sALvK0TU_Q0JQSaOMSl19Df_BHytwZkQ.png,,Glass,Trait,Common,-,Allow Puffling to change parts into 'Glass',
19,Metal Jewel-bite,19 Metal Jewel-bite,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/file/d/1VMLvgYUfxLUiYMiFJlmOG4XflcGA-PGH/view?usp=sharing,https://img-l.ink/img/1VMLvgYUfxLUiYMiFJlmOG4XflcGA-PGH.png,,Metal,Trait,Common,-,Allow Puffling to change parts into 'Metal',
20,Spike Jewel-bite,20 Spike Jewel-bite,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/file/d/1lG0PL4nfP5d3wXYtOVxKBPxfg8ximr4w/view?usp=drive_link,https://img-l.ink/img/1lG0PL4nfP5d3wXYtOVxKBPxfg8ximr4w.png,,Spike,Trait,Common,-,Allow Puffling to change parts into 'Spike',
21,Bone Jewel-bite,21 Bone Jewel-bite,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/file/d/127HBkQufhVbaHUJcbBJfuBHbnOQt6YYp/view?usp=drive_link,https://img-l.ink/img/127HBkQufhVbaHUJcbBJfuBHbnOQt6YYp.png,,Bone,Trait,Common,-,Allow Puffling to change parts into 'Bone',
22,Armor Scale Jewel-bite,22 Armor Scale Jewel-bite,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/file/d/18x3HcqIJpi817CHu48Hq0uCF0kEwDqCv/view?usp=drive_link,https://img-l.ink/img/18x3HcqIJpi817CHu48Hq0uCF0kEwDqCv.png,,Armor Scale,Trait,Common,-,Allow Puffling to change parts into 'Armour Scale',
23,Dark Jewel-bite,23 Dark Jewel-bite,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/file/d/15ZcZjFEOmQIMPIdxPno9MzANMrp6vnnm/view?usp=drive_link,https://img-l.ink/img/15ZcZjFEOmQIMPIdxPno9MzANMrp6vnnm.png,,Darkness,Trait,Uncommon,-,Allow Puffling to possed 'Dark' Element,
24,Light Jewel bite,24 Light Jewel bite,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/file/d/1ECyUsUv25k7ogsyJWG_ga_O3WGS_oY7J/view?usp=drive_link,https://img-l.ink/img/1ECyUsUv25k7ogsyJWG_ga_O3WGS_oY7J.png,,Light,Trait,Uncommon,-,Allow Puffling to possed 'Light' Element,
25,Wind Jewel bite,25 Wind Jewel bite,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/file/d/1pVmnNYSuqbEM1L0kAb82nz-GOEHgbY4Q/view?usp=drive_link,https://img-l.ink/img/1pVmnNYSuqbEM1L0kAb82nz-GOEHgbY4Q.png,,Wind,Trait,Uncommon,-,Allow Puffling to possed 'Wind' Element,
26,Fire Jewel-bite,26 Fire Jewel-bite,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/file/d/1mMNB22mSA9U1jA8D5CixfO0vQ0rZ1HOB/view?usp=drive_link,https://img-l.ink/img/1mMNB22mSA9U1jA8D5CixfO0vQ0rZ1HOB.png,,Fire,Trait,Uncommon,-,Allow Puffling to possed 'Fire' Element,
27,Water Jewel-bite,27 Water Jewel-bite,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/file/d/1QEUxpdrHblFQs47Iy9gaqNNNHSankC8J/view?usp=drive_link,https://img-l.ink/img/1QEUxpdrHblFQs47Iy9gaqNNNHSankC8J.png,,Water,Trait,Uncommon,-,Allow Puffling to possed 'Water' Element,
28,Earth Jewel-bite,28 Earth Jewel-bite,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/file/d/1r19dBxrr5LneUFW2Wh4qQ8C__jPtUqj2/view?usp=drive_link,https://img-l.ink/img/1r19dBxrr5LneUFW2Wh4qQ8C__jPtUqj2.png,,Earth,Trait,Uncommon,-,Allow Puffling to possed 'Earth' Element,
29,Pastry jewel-bite,29 Pastry jewel-bite,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/file/d/1AUk_A_GC9HMVqYJkvSt4M4Ax9CWqZ2Ws/view?usp=drive_link,https://img-l.ink/img/1AUk_A_GC9HMVqYJkvSt4M4Ax9CWqZ2Ws.png,,Pastry,Trait,Rare,-,"Allow Puffling Part Horn, wing, tail to be any sweets. ",
30,Radiant Crack Jewel-bite,30 Radiant Crack Jewel-bite,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/file/d/1UiEe2SE1eXcYC4cLFgiHIS0nOcKFwV2l/view?usp=drive_link,https://img-l.ink/img/1UiEe2SE1eXcYC4cLFgiHIS0nOcKFwV2l.png,,Radiant Crack,Trait,Rare,-,Allow Puffling to possed 'Radiant Crack' Element. This crack emitted light.,
31,Snow Jewel-bite,31 Snow Jewel-bite,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/file/d/16wvh-8Y8P0DzFwHIgvT7YrBRQJjymAxj/view?usp=drive_link,https://img-l.ink/img/16wvh-8Y8P0DzFwHIgvT7YrBRQJjymAxj.png,,Snow,Trait,Rare,-,Allow Puffling to possed 'Snow' Element,
32,Flora Jewel-bite,32 Flora Jewel-bite,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/file/d/1fJB3f532ocYMJkDl8w0sTFsMteMFqL18/view?usp=drive_link,https://img-l.ink/img/1fJB3f532ocYMJkDl8w0sTFsMteMFqL18.png,,Flora,Trait,Rare,-,Allow Puffling to possed 'Flora' Element,
33,Living Doll Jewel-bite,33 Living Doll Jewel-bite,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/file/d/1MdjIR0wUfMF3okaj29ay21HXX_kF_sTZ/view?usp=drive_link,https://img-l.ink/img/1MdjIR0wUfMF3okaj29ay21HXX_kF_sTZ.png,,Puppet,Trait,Rare,-,Add 'Stitched' Feature to your Puff,
34,Rotten Jewel-bite,34 Rotten Jewel-bite,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/file/d/1V8ffLWd2sFUUIitZ7H-BZIUbOH8i-cOr/view?usp=drive_link,https://img-l.ink/img/1V8ffLWd2sFUUIitZ7H-BZIUbOH8i-cOr.png,,Rotten,Trait,Rare,-,Add 'Rotten' Feature to your Puff,
35,Glow Jewel-bite,35 Glow Jewel-bite,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/file/d/1uKLy1-X0yBjP4BQg3x7NGbF5nern8VlL/view?usp=drive_link,https://img-l.ink/img/1uKLy1-X0yBjP4BQg3x7NGbF5nern8VlL.png,,Glow,Trait,Uncommon,-,Make your Puff Parts 'Glow in the Dark',
36,Blade Wings Jewel-bite,36 Blade Wings Jewel-bite,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/file/d/1TMpJgkqNLNEflQyu0GGKSffBrgas2LcH/view?usp=drive_link,https://img-l.ink/img/1TMpJgkqNLNEflQyu0GGKSffBrgas2LcH.png,,Blade Wing,Trait,Uncommon,-,Allow Puffling wings to be 'Blade-Shaped.',
37,Curl Wings Jewel-bite,37 Curl Wings Jewel-bite,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/file/d/1Zb-JPxUTbmxlzsVgGb4GdBRbGKSt9E5o/view?usp=drive_link,https://img-l.ink/img/1Zb-JPxUTbmxlzsVgGb4GdBRbGKSt9E5o.png,,Curl Wing,Trait,Uncommon,-,Allow Puffling wings to be 'Curl-Shaped.',
38,Shimmer Jewel-bite,38 Shimmer Jewel-bite,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/file/d/1wmtcKtyZW0RUIfnF91IUyN_jjUelKvjS/view?usp=drive_link,https://img-l.ink/img/1wmtcKtyZW0RUIfnF91IUyN_jjUelKvjS.png,,Shimmer,Trait,Rare,-,Make your Puff Parts 'Shimmering',
39,Magic Marking Jewel-bite,39 Magic Marking Jewel-bite,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/file/d/1okQ2qXeNshKTYG76tYJRWv1qsN7-zpe3/view?usp=drive_link,https://img-l.ink/img/1okQ2qXeNshKTYG76tYJRWv1qsN7-zpe3.png,,Magic Marking,Trait,Rare,-,Magic Markings make your puffling's pattern glow,
40,Levitate Jewel-bite,40 Levitate Jewel-bite,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/file/d/1_kUQecLeJZ3XZgnlE9_Vb9fEsNgLUipI/view?usp=drive_link,https://img-l.ink/img/1_kUQecLeJZ3XZgnlE9_Vb9fEsNgLUipI.png,,Levitate,Trait,Uncommon,-,Allow wings to hover beside Puff.,
41,Insect Wings Jewel-bite,41 Insect Wings Jewel-bite,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/file/d/1Sfo6Du_6vsHuIjJSnarzWJXhCrlBRDzA/view?usp=drive_link,https://img-l.ink/img/1Sfo6Du_6vsHuIjJSnarzWJXhCrlBRDzA.png,,Insect Wing,Trait,Rare,-,Allow Puffling wings to be 'Insect-like.',
42,Astral Ring Jewel-bite,42 Astral Ring Jewel-bite,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/file/d/1ZO27FY4Tcw9eEjmXvOBZmj612TvLkFzK/view?usp=drive_link,https://img-l.ink/img/1ZO27FY4Tcw9eEjmXvOBZmj612TvLkFzK.png,,Astral Ring,Trait,Rare,-,Allow Puffling to have Astral Ring around body,
43,Fur tail Jewel-bite,43 Fur tail Jewel-bite,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/file/d/1L1wf1wRaVJXg_O6wMeZhAEGakZV1bnmV/view?usp=drive_link,https://img-l.ink/img/1L1wf1wRaVJXg_O6wMeZhAEGakZV1bnmV.png,,Fluffy tail,Trait,Common,-,Allow Puffling tail to be fully covered in 'Fur' with no tail tip.,
44,PomPom Jewel-bit,44 PomPom Jewel-bit,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/file/d/1jyjkt1_tZTmUKNZ_QTCVZT7bvCeee0H8/view?usp=drive_link,https://img-l.ink/img/1jyjkt1_tZTmUKNZ_QTCVZT7bvCeee0H8.png,,Pompom tip,Trait,Common,-,Allow Puffling tail tip to be covered in 'Fur' like a PomPom.,
45,Adaptable Horn Jewel-bite,45 Adaptable Horn Jewel-bite,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/file/d/1cynVvdxRV_KtjaHS7OqG04O0ngci423G/view?usp=drive_link,https://img-l.ink/img/1cynVvdxRV_KtjaHS7OqG04O0ngci423G.png,,Adaptable Horn,Trait,Rare,-,"This trait allows any horn type to be customized, as long as its core concept and key features remain recognizable.",
46,Double Limbs Jewel-bite,46 Double Limbs Jewel-bite,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/file/d/1U41JLcr9wd5YUBJ8hxT0BzcDyWK5j3la/view?usp=drive_link,https://img-l.ink/img/1U41JLcr9wd5YUBJ8hxT0BzcDyWK5j3la.png,,Double Limb,Trait,Rare,-,"llows a second tail, horn, or wing using the same traits as the original, but in smaller size.",
47,Cosmic Mirror,47 Cosmic Mirror,FALSE,TRUE,FALSE,FALSE,https://drive.google.com/file/d/1XU3hmz2ys-1L_q9b089maR66fNIZs2tn/view?usp=drive_link,https://img-l.ink/img/1XU3hmz2ys-1L_q9b089maR66fNIZs2tn.png,,,Misc,Rare,10,Allow Full Redesign of a Puffling (Species change included),-1
48,Star Chorus,48 Star Chorus,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/file/d/1yHy6w36Y5jEGZR3aItsil_f1aEGg0Ta8/view?usp=drive_link,https://img-l.ink/img/1yHy6w36Y5jEGZR3aItsil_f1aEGg0Ta8.png,,,Misc,Rare,-,Allows you to change only your Puffling’s basic species.,
49,Heartbound Crystal,49 Heartbound Crystal,FALSE,TRUE,FALSE,FALSE,https://drive.google.com/file/d/1TaODk3Jf_y1ocsNfTzUWOFrURFaXJVJi/view?usp=drive_link,https://img-l.ink/img/1TaODk3Jf_y1ocsNfTzUWOFrURFaXJVJi.png,,,Misc,Super Rare,100,A special Crystal that lets your Puffling take on a humanoid form.,-1
50,Spirit Jewel-bite,50 Spirit Jewel-bite,FALSE,FALSE,FALSE,FALSE,,,,Spirit,Trait,Super Rare,,,
51,Necromancer Jewel-bite,51 Necromancer Jewel-bite,FALSE,FALSE,FALSE,FALSE,,,,Necromancer,Trait,Super Rare,,,
52,Transparent Jewel-bite,52 Transparent Jewel-bite,FALSE,FALSE,FALSE,FALSE,,,,Transparent,Trait,Rare,,,
53,Corrupted jewel-bite,53 Corrupted jewel-bite,FALSE,FALSE,FALSE,FALSE,,,,Corrupted,Trait,Super Rare,,,
54,Hand-wings Jewel-bite,54 Hand-wings Jewel-bite,FALSE,FALSE,FALSE,FALSE,,,,Hand-wings,Trait,Super Rare,,,
55,Cross Tail-tip Jewel-bite,55 Cross Tail-tip Jewel-bite,FALSE,FALSE,FALSE,FALSE,,,,Cross Tail-tip,Trait,Rare,,,
56,Puff in a Box Jewel-bite,56 Puff in a Box Jewel-bite,FALSE,FALSE,FALSE,FALSE,,,,Puff in a box,Trait,Super Rare,,,
57,No Webbing Jewel-bite,57 No Webbing Jewel-bite,FALSE,FALSE,FALSE,FALSE,,,,No Webbing,Trait,Super Rare,,,
58,Sprout Tail-tip Jewel-bite,58 Sprout Tail-tip Jewel-bite,FALSE,FALSE,FALSE,FALSE,,,,Sprout Shape Tail-tip,Trait,Common,,,
59,Astral Jewel-bite,59 Astral Jewel-bite,FALSE,FALSE,FALSE,FALSE,,,,Astral,Trait,Super Rare,,,
60,One-horn Jewel-bite,60 One-horn Jewel-bite,FALSE,FALSE,FALSE,FALSE,,,,One-Horn,Trait,Common,,,
61,Twins Jewel-bite,61 Twins Jewel-bite,FALSE,FALSE,FALSE,FALSE,,,,Twins,Trait,Rare,,,
62,Stone Jewel-bite,62 Stone Jewel-bite,FALSE,FALSE,FALSE,FALSE,,,,Stone,Trait,Common,,,
63,Coral Jewel-bite,63 Coral Jewel-bite,FALSE,FALSE,FALSE,FALSE,,,,Coral,Trait,Rare,,,
64,Master Elemental Jewel-bite,64 Master Elemental Jewel-bite,FALSE,FALSE,FALSE,FALSE,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/04b3c4c6-546a-4158-85ea-944a25ffbbcd/dktpd1f-05cdcc28-ffe3-48ea-81a9-927e054b4718.png?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7InBhdGgiOiIvZi8wNGIzYzRjNi01NDZhLTQxNTgtODVlYS05NDRhMjVmZmJiY2QvZGt0cGQxZi0wNWNkY2MyOC1mZmUzLTQ4ZWEtODFhOS05MjdlMDU0YjQ3MTgucG5nIn1dXSwiYXVkIjpbInVybjpzZXJ2aWNlOmZpbGUuZG93bmxvYWQiXX0.5KL39gT8ihVTNCC_NlEIBN8Dtt5WtOVnfutxeowOCFE,https://img-l.ink/img/04b3c4c6-546a-4158-85ea-944a25ffbbcd.png,,Master Elemental,Trait,Ultra Rare,,,
65,Will-o'-Wisp Jewel-bite,65 Will-o'-Wisp Jewel-bite,FALSE,FALSE,FALSE,FALSE,,,,Will-o'-Wisp,Trait,Rare,,,
66,Sea Bunny Jewel-bite,66 Sea Bunny Jewel-bite,FALSE,FALSE,FALSE,FALSE,,,,Sea Bunny,Trait,Super Rare,,,
67,Phoenix Jewel-bite,67 Phoenix Jewel-bite,FALSE,FALSE,FALSE,FALSE,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/04b3c4c6-546a-4158-85ea-944a25ffbbcd/dktpd05-6d49f849-57a5-498f-a40b-de0b83e506cc.png?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7InBhdGgiOiIvZi8wNGIzYzRjNi01NDZhLTQxNTgtODVlYS05NDRhMjVmZmJiY2QvZGt0cGQwNS02ZDQ5Zjg0OS01N2E1LTQ5OGYtYTQwYi1kZTBiODNlNTA2Y2MucG5nIn1dXSwiYXVkIjpbInVybjpzZXJ2aWNlOmZpbGUuZG93bmxvYWQiXX0.Fpo9gFzX937BpgxLngXCIiN6_vhMcotshBEbuwALBQA,https://img-l.ink/img/04b3c4c6-546a-4158-85ea-944a25ffbbcd.png,,Phoenix,Trait,Ultra Rare,,,
68,Scorpion Jewel-bite,68 Scorpion Jewel-bite,FALSE,FALSE,FALSE,FALSE,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/04b3c4c6-546a-4158-85ea-944a25ffbbcd/dktpd0z-0075ee1a-5e24-42e6-b447-aec885282694.png?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7InBhdGgiOiIvZi8wNGIzYzRjNi01NDZhLTQxNTgtODVlYS05NDRhMjVmZmJiY2QvZGt0cGQwei0wMDc1ZWUxYS01ZTI0LTQyZTYtYjQ0Ny1hZWM4ODUyODI2OTQucG5nIn1dXSwiYXVkIjpbInVybjpzZXJ2aWNlOmZpbGUuZG93bmxvYWQiXX0.llSU2OONN1vYjKxkX6JLv1KjUCgY6_vivlg6pUGfOBo,https://img-l.ink/img/04b3c4c6-546a-4158-85ea-944a25ffbbcd.png,,Scorpion,Trait,Ultra Rare,,,
69,Octo Jewel-bite,69 Octo Jewel-bite,FALSE,FALSE,FALSE,FALSE,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/04b3c4c6-546a-4158-85ea-944a25ffbbcd/dktpd0k-4f2ed118-12b2-4edf-807a-03411fb71a61.png?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7InBhdGgiOiIvZi8wNGIzYzRjNi01NDZhLTQxNTgtODVlYS05NDRhMjVmZmJiY2QvZGt0cGQway00ZjJlZDExOC0xMmIyLTRlZGYtODA3YS0wMzQxMWZiNzFhNjEucG5nIn1dXSwiYXVkIjpbInVybjpzZXJ2aWNlOmZpbGUuZG93bmxvYWQiXX0.3c_CTnala8k7oWTad-OQmv3O4QGV16IFF6JmY176oXw,https://img-l.ink/img/04b3c4c6-546a-4158-85ea-944a25ffbbcd.png,,Octo,Trait,Ultra Rare,,,
70,Peacock Jewel-bite,70 Peacock Jewel-bite,FALSE,FALSE,FALSE,FALSE,,,,Peacock,Trait,Super Rare,,,
71,Brush Tail Tip Jewel-bite,71 Brush Tail Tip Jewel-bite,FALSE,FALSE,FALSE,FALSE,,,,Brush Tail tip,Trait,Uncommon,,,
72,Test Gem (t),72 Test Gem (t),FALSE,FALSE,TRUE,FALSE,,,,Test,Trait,Common,,,
73,Test Gem (s),73 Test Gem (s),FALSE,FALSE,FALSE,FALSE,,,,Test,Trait,Common,,,
74,Tradeable Only (t),74 Tradeable Only (t),FALSE,FALSE,TRUE,FALSE,,,,Trade,Trait,Common,,,
75,Soulbound Only (s),75 Soulbound Only (s),FALSE,FALSE,FALSE,FALSE,,,,Soul,Trait,Common,,,
76,Regular Item,76 Regular Item,FALSE,FALSE,TRUE,FALSE,,,,Regular,Trait,Common,,,
77,Lucky Potion (Free),77 Lucky Potion (Free),TRUE,FALSE,FALSE,FALSE,,,,,Misc,Common,,,A free lucky potion that gives soulbound rewards
,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
